AACC,20100827,3.99,4.12,3.77,4.11,39100
AAON,20100827,21.54,22.23,21.24,22.17,38000
AAPL,20100827,241.75,242.61,235.56,241.62,19592300
AATI,20100827,3.47,3.5,3.36,3.5,89900
AAWW,20100827,45.61,46.66,44.74,45.39,442100
AAXJ,20100827,54.76,55.28,54.16,55.25,731400
ABAT,20100827,3.6,3.69,3.6,3.65,395300
ABAX,20100827,18.5,18.86,18.05,18.83,55100
ABBC,20100827,9.97,10.19,9.94,10.17,133900
ABCB,20100827,8.15,8.42,8.03,8.38,59300
ABCD,20100827,2.99,3.04,2.97,3.03,34700
ABCO,20100827,41.25,41.25,40.93,41,134200
ABCW,20100827,0.62,0.64,0.62,0.63,43000
ABFS,20100827,20.87,21.34,20.42,21.29,268500
ABII,20100827,74.03,74.22,73.75,74.2,99300
ABIO,20100827,3.46,3.49,3.37,3.43,23200
ABMD,20100827,9.08,9.27,8.91,9.14,214100
ABTL,20100827,0.88,0.89,0.85,0.89,39200
ACAD,20100827,1.01,1.03,1,1.03,243700
ACAP,20100827,41.22,41.35,41.15,41.26,70000
ACAS,20100827,5.04,5.2,4.95,5.17,4158600
ACAT,20100827,7.72,7.92,7.5,7.86,43000
ACCL,20100827,6.09,6.13,5.97,6.11,158600
ACET,20100827,5.5,5.7,5.34,5.68,58900
ACFC,20100827,2.62,2.62,2.4,2.4,2900
ACFN,20100827,4.49,4.54,4.31,4.49,22500
ACGL,20100827,79.44,79.84,78.31,79.81,248300
ACGY,20100827,15.37,15.67,15.07,15.64,166300
ACHN,20100827,2.55,2.63,2.55,2.63,77000
ACIW,20100827,19.78,20.26,19.49,20.23,117500
ACLI,20100827,27,27.75,26.73,27.35,237200
ACLS,20100827,1.42,1.57,1.4,1.46,756300
ACMR,20100827,1.81,1.81,1.76,1.78,11100
ACOM,20100827,19,19.55,18.82,19.5,216700
ACOR,20100827,29.9,30.38,29.02,30.29,362300
ACPW,20100827,1.04,1.09,1.02,1.09,44600
ACTG,20100827,15.78,15.91,15.14,15.87,151200
ACTI,20100827,1.93,1.95,1.92,1.93,24300
ACTL,20100827,14.28,14.73,13.8,14.72,60400
ACTS,20100827,2.09,2.13,2.08,2.09,37200
ACTU,20100827,4.05,4.09,4,4.08,332200
ACUR,20100827,2.38,2.52,2.37,2.5,17200
ACWI,20100827,39.45,39.93,39,39.9,90100
ACWX,20100827,37.61,38.07,37.22,38.07,39400
ACXM,20100827,13.23,13.23,12.7,12.92,1016500
ADAM,20100827,3.16,3.18,3.15,3.17,26900
ADAT,20100827,0.7,0.73,0.67,0.71,11600
ADBE,20100827,27.48,28.06,27.02,27.98,7342300
ADCT,20100827,12.68,12.73,12.66,12.73,2400200
ADEP,20100827,4.53,5,4.53,4.89,15200
ADES,20100827,5.18,5.18,5.03,5.1,16300
ADGF,20100827,4.1,4.22,4.07,4.22,3100
ADLR,20100827,1.09,1.1,1.03,1.07,97600
ADP,20100827,39.08,39.41,38.56,39.36,2833200
ADPI,20100827,10.69,10.9,10.52,10.9,36100
ADRA,20100827,24.04,24.04,24.04,24.04,100
ADRD,20100827,18.9,19,18.75,18.95,4300
ADRE,20100827,40.54,41.27,40.28,41.25,103300
ADRU,20100827,18.72,18.74,18.72,18.74,500
ADSK,20100827,27.76,28.54,26.98,28.38,4257300
ADTN,20100827,30.3,31.75,30.09,31.64,1288300
ADUS,20100827,5.09,5.13,4.86,5.13,4100
ADVS,20100827,49.04,50.06,48.01,49.96,117800
AEHR,20100827,1.23,1.3,1.21,1.21,5500
AEIS,20100827,15.01,15.37,14.63,15.34,373700
AEPI,20100827,24.38,24.38,23.89,24.15,19200
AERG,20100827,1.16,1.21,1.14,1.21,270900
AERL,20100827,5.4,5.4,5.4,5.4,2900
AERLW,20100827,0.5,0.55,0.5,0.55,34400
AETI,20100827,2.22,2.22,2.01,2.01,1500
AEY,20100827,2.7,2.81,2.7,2.81,5600
AEZS,20100827,0.95,0.99,0.93,0.99,709200
AFAM,20100827,26.52,26.52,25.08,25.95,67900
AFCB,20100827,10.59,10.6,10.5,10.59,2600
AFCE,20100827,10.44,10.91,10.13,10.87,102300
AFFM,20100827,3.4,3.45,3.37,3.4,23000
AFFX,20100827,4.25,4.28,4.12,4.26,869400
AFFY,20100827,6.01,6.05,5.7,5.81,803700
AFOP,20100827,1.64,1.7,1.61,1.66,102700
AFSI,20100827,13.65,13.83,13.47,13.8,70800
AGAM,20100827,14.58,14.67,14.3,14.38,245900
AGEN,20100827,0.79,0.82,0.77,0.78,215100
AGII,20100827,30.52,30.9,30,30.86,169800
AGNC,20100827,27.1,27.37,27,27.35,724300
AGYS,20100827,4.48,4.53,4.3,4.51,160400
AHCI,20100827,2.03,2.13,1.93,2.12,97500
AHGP,20100827,38.49,39.66,38.3,39.49,32400
AHII,20100827,2.21,2.21,2.2,2.2,11400
AHPI,20100827,3.25,3.25,3.25,3.25,1100
AIMC,20100827,12.22,13.3,12.2,13.24,106900
AINV,20100827,9.32,9.58,9.2,9.56,1633900
AIRM,20100827,35.84,37.1,35.33,36.81,312700
AIRT,20100827,8.99,8.99,8.8,8.84,5700
AIXG,20100827,24.89,25.08,24.1,25.08,339600
AKAM,20100827,47.05,47.38,45.73,47.26,4405900
AKRX,20100827,3.24,3.38,3.16,3.38,325400
ALAND,20100827,1.3,1.83,1.3,1.55,16800
ALCO,20100827,21.3,21.3,20.58,21.09,16800
ALGN,20100827,16.4,16.4,15.98,16.3,421900
ALGT,20100827,38.93,39.22,38,39.16,119200
ALIM,20100827,8.43,8.73,8.14,8.17,23000
ALKS,20100827,13.54,13.74,13.27,13.71,594400
ALLB,20100827,7.75,7.75,7.75,7.75,7600
ALLT,20100827,4.95,5.2,4.95,5.07,15600
ALNC,20100827,28.82,29.74,28.7,29.74,6800
ALNY,20100827,14.11,14.75,13.9,14.71,208700
ALOG,20100827,41.68,42.19,40.94,42.01,33400
ALOT,20100827,6.82,6.92,6.82,6.87,1300
ALOY,20100827,9.53,9.57,9.53,9.57,3100
ALSK,20100827,9.4,9.57,9.29,9.57,323800
ALTE,20100827,17.99,18.38,17.74,18.32,481500
ALTH,20100827,3.99,4.03,3.87,4,470800
ALTI,20100827,0.41,0.44,0.41,0.42,232100
ALTR,20100827,25.01,25.62,24.51,25.54,9111900
ALVR,20100827,1.83,1.88,1.79,1.88,109600
ALXA,20100827,2.95,2.96,2.8,2.95,551900
ALXN,20100827,56.39,57.69,55.32,57.52,576400
AMAC,20100827,6.28,6.3,5.75,6.25,9600
AMAG,20100827,28.27,28.53,25.98,26.11,1143500
AMAP,20100827,15.05,15.18,14.6,14.91,70600
AMAT,20100827,10.58,10.78,10.3,10.69,23287800
AMCC,20100827,11.38,11.38,10.84,11.19,1271300
AMCF,20100827,4.03,4.08,3.78,4.07,45800
AMCN,20100827,3.6,3.65,3.51,3.58,156500
AMED,20100827,24.65,24.97,24,24.85,464600
AMGN,20100827,51,52.41,50.26,52.08,7091300
AMIC,20100827,4.36,4.62,4.36,4.62,1700
AMIED,20100827,2.25,2.91,2.25,2.75,19200
AMKR,20100827,5.29,5.55,5.13,5.54,2880600
AMLN,20100827,19.9,20.41,19.8,20.35,1433100
AMMD,20100827,20.01,20.19,19.78,20.17,834200
AMNB,20100827,19.05,19.77,19.03,19.77,8700
AMOT,20100827,4.2,4.25,4.1,4.14,4400
AMOV,20100827,46.35,47.11,46.34,47.11,1800
AMPH,20100827,26.18,26.49,25.72,26.45,22400
AMPL,20100827,1.5,1.6,1.5,1.56,28900
AMRB,20100827,5.9,6.07,5.85,6,9800
AMRI,20100827,6.51,6.59,6.41,6.45,88000
AMRN,20100827,2.91,2.98,2.8,2.96,405200
AMSC,20100827,27.08,28,26.5,27.98,342900
AMSF,20100827,17.47,17.47,17.21,17.39,118200
AMSG,20100827,16.91,17.25,16.58,17.2,116000
AMSWA,20100827,5.04,5.15,5,5.15,51200
AMTCP,20100827,9.04,9.04,9.03,9.03,600
AMTD,20100827,14.86,14.99,14.68,14.96,3388800
AMWD,20100827,15.55,15.68,15.34,15.67,26800
AMZN,20100827,125.46,126.64,122.25,126.64,5080500
ANAD,20100827,4.18,4.25,4.02,4.24,398000
ANAT,20100827,76.45,77.57,75.66,77,46300
ANCI,20100827,1.52,1.53,1.5,1.5,7600
ANCX,20100827,6.25,6.25,6,6.01,6100
ANDE,20100827,36.91,37.07,36.14,37.02,163000
ANDS,20100827,1.8,1.83,1.72,1.8,117800
ANEN,20100827,14.2,14.4,13.64,14.31,39800
ANGN,20100827,4.22,4.22,4.22,4.22,300
ANGO,20100827,15.34,15.52,15.1,15.5,120800
ANIK,20100827,4.97,5.07,4.95,5.04,18100
ANLY,20100827,2.29,2.3,2.28,2.3,1600
ANPI,20100827,0.49,0.49,0.45,0.45,197400
ANSS,20100827,40.06,40.32,39.32,40.14,387300
ANSW,20100827,4.7,4.93,4.55,4.87,39100
ANTH,20100827,3.87,3.9,3.82,3.89,11000
ANTP,20100827,2.72,2.73,2.63,2.73,3700
AONE,20100827,6.67,6.76,6.41,6.75,1297800
AOSL,20100827,10.65,11.14,10.63,11.14,35800
APAC,20100827,5.08,5.11,4.97,5.1,126400
APAGF,20100827,26.18,26.46,25.8,26.35,23900
APCVZ,20100827,0.05,0.08,0.04,0.05,14627200
APEI,20100827,25.65,25.78,24.81,24.9,220700
APFC,20100827,4.53,4.7,4.49,4.49,6500
APKT,20100827,32.9,34.15,32.03,33.3,1619700
APOG,20100827,9.44,9.49,9.29,9.47,433000
APOL,20100827,42.38,43.11,41.55,42.77,1987200
APPA,20100827,0.6,0.65,0.57,0.59,148600
APPY,20100827,0.58,0.6,0.55,0.6,147200
APSA,20100827,9.25,9.25,9.25,9.25,500
APSG,20100827,19.39,19.87,18.93,19.85,63200
APWR,20100827,6.65,6.72,6.07,6.41,2401500
ARAY,20100827,6.49,6.7,6.26,6.7,261900
ARBA,20100827,15.15,15.61,14.83,15.58,612000
ARBX,20100827,7.41,7.55,7.29,7.55,1800
ARCC,20100827,14.6,14.9,14.53,14.88,1425800
ARCI,20100827,2.36,2.4,2.35,2.35,6800
ARCL,20100827,10.2,10.34,9.88,10.34,40500
ARCW,20100827,2.55,2.55,2.55,2.55,100
ARDNA,20100827,87.92,88.99,86.81,88.99,2000
AREX,20100827,8.32,8.75,8.1,8.73,104500
ARGN,20100827,10.23,10.99,10.01,10.97,264100
ARIA,20100827,3.3,3.3,3.16,3.29,954400
ARII,20100827,11.4,12.03,11,12.03,62800
ARKR,20100827,13.71,13.75,13.5,13.65,4200
ARLP,20100827,54.04,55.38,53.85,55.22,59400
ARMH,20100827,15.44,16.08,15.25,16.08,3536600
ARNA,20100827,6.65,6.76,6.5,6.74,3606800
AROW,20100827,22.96,23.79,22.76,23.7,21900
ARQL,20100827,4.94,5.4,4.65,5.27,1039100
ARRS,20100827,8.55,8.6,8.4,8.47,1181700
ARRY,20100827,2.72,2.81,2.65,2.81,192200
ARSD,20100827,2.03,2.09,2,2.05,11300
ARST,20100827,37.96,39.74,36.85,39.66,4088900
ARTC,20100827,25.51,25.99,25.3,25.9,126400
ARTG,20100827,3.4,3.47,3.3,3.47,1527900
ARTNA,20100827,17.9,18.16,17.52,18.16,10800
ARTW,20100827,5.54,5.8,5.42,5.7,2700
ARTX,20100827,1.55,1.56,1.5,1.5,7200
ARUN,20100827,17.4,18.69,17.01,18.39,8135900
ARWR,20100827,0.84,0.91,0.84,0.88,217000
ARYX,20100827,0.4,0.42,0.36,0.39,154600
ASBC,20100827,12.67,12.75,12.43,12.64,1535900
ASBI,20100827,4.01,4.11,3.99,3.99,1600
ASCA,20100827,16.77,16.96,16.51,16.81,198100
ASCMA,20100827,26.63,27.52,26.28,27.47,26500
ASEI,20100827,72.39,72.39,70.75,71.69,40800
ASFI,20100827,8.1,8.54,8.09,8.54,33600
ASFN,20100827,0.82,1.15,0.8,0.97,99500
ASGN,20100827,4.72,4.72,4.38,4.48,206700
ASGR,20100827,13.5,14.15,13.11,14.05,26200
ASIA,20100827,20.1,20.26,19.72,20.22,976200
ASMI,20100827,22.11,22.18,21.3,22.15,43100
ASML,20100827,26.23,26.37,25.16,26.05,6118300
ASPS,20100827,26.43,27.2,26.43,27.08,115300
ASRVP,20100827,22.76,22.78,22.76,22.78,200
ASTC,20100827,1.32,1.32,1.25,1.27,48200
ASTE,20100827,26.14,26.68,25.55,26.6,233600
ASTI,20100827,2.07,2.2,2.02,2.11,52100
ASTIZ,20100827,0.3,0.3,0.3,0.3,7300
ASTM,20100827,1.44,1.44,1.39,1.4,103400
ASUR,20100827,2.6,2.65,2.56,2.64,3600
ASYS,20100827,12.81,13.71,12.63,13.69,107900
ATAC,20100827,24.1,24.26,24.06,24.15,329500
ATAI,20100827,2.9,2.9,2.9,2.9,15300
ATAX,20100827,5.59,5.6,5.55,5.6,25800
ATBC,20100827,2.25,2.25,2.15,2.15,2500
ATEC,20100827,2.14,2.14,2.05,2.14,720500
ATHN,20100827,28.17,28.52,27.41,27.86,304600
ATHR,20100827,26.41,27.14,25.6,26.95,2692600
ATHX,20100827,2.61,2.65,2.38,2.56,130300
ATLO,20100827,17.16,17.73,17.08,17.53,11800
ATLS,20100827,27.35,27.77,26.82,27.74,387300
ATMI,20100827,12.49,12.54,12.13,12.5,228400
ATML,20100827,5.91,5.98,5.58,5.95,9900700
ATNI,20100827,42.85,43.96,41.97,43.81,35300
ATPG,20100827,11.06,11.9,10.68,11.87,2840000
ATRC,20100827,7.85,7.92,7.58,7.92,21300
ATRI,20100827,135.99,139.46,133,139.46,5000
ATRM,20100827,2.34,2.66,2.34,2.66,40100
ATRN,20100827,0.38,0.38,0.35,0.38,26600
